bank,city,review,date
ALLAHABAD BANK,ghaziabad,I have closed the housing loan with Allahabad Bank and the interest rate was floating based. Processing charges were nominal one and the loan amount got disbursed within thirty days of time. The money got disbursed on a single payment. I want them to improve the online services by the way so that it will be really helpful for customers.,"Jun 04, 2015"
ALLAHABAD BANK,ranchi,I have a Home loan running with Allahabad Bank which I took recently. The documentation was very minimal and the processing was quite easy as the Branch manager was very helpful and friendly. I was offered an interest rate of 11.25% and the processing fee was waived off which was a nice gesture. The process took only about 12 hours.,"Apr 07, 2015"
ALLAHABAD BANK,kolkata,ALLAHABAD BANK people were very cooperative. Just because of the interest rate I transferred my Home loan to SBI Bank. They use to provide every thing instantly. I was completed my 3 years loan but I never faced any issues with them. Their loan process and interaction with their customers every thing was good.,"Feb 24, 2015"
ALLAHABAD BANK,coimbatore,"In 13 working days the Allahabad bank has sanctioned the home loan and the amount is about 17lakhs. However when I asked for a credit card they did not process. Allahabad bank is certainly very fast in sanctioning the home loan. Customer service, response and their services are more than expected level. Interest rate is good. I visited the bank post 4pm and still they helped me to pay the due.","Jan 04, 2015"
ALLAHABAD BANK,lucknow,I got the home loan with allahabad bank and the experience was very awesome like within a couple of day the loan was disbursed which was the bigger amount . The staffs of the bank are good. Interest rate charged was 9.70% without any processing fee. ,"Dec 09, 2014"
ALLAHABAD BANK,ghaziabad,It is a government bank and they are good in terms of interest rate. Allahabad bank is not good in customer service and in a paper works. The agents are not good. I was very frustrated at that time of process as every time they asked for new documents. They also asked papers from seller side to process the home loan. ,"Oct 20, 2014"
ALLAHABAD BANK,bangalore,The rate of interest offered by Allahabad for the housing loan is very good. Its very much beneficial for me .I am holding this housing loan from the month of June. They were asking for all the necessary documents. There is no issue or hassle with them while submitting the documents. Interest rate offered by them was floating rate processing is fine. Its a nationalized bank . I can check the part payment options on line.,"Oct 12, 2014"
ALLAHABAD BANK,kolkata,I am holding this Allahabad housing loan for a period of 3 to 4 years. I am getting my certificate of interest on time. I am getting SMS for the payment on time. I am not happy with their service and it is not as good as CITI Bank. I would suggest Allahabad to follow CITI Bank.,"Oct 07, 2014"
ALLAHABAD BANK,bangalore,Allahabad bank has given me a home at an interest rate of 9.4%. They did not ask me too much of documents. The very first day they gave me a checklist in which I mentioned about the papers which I had and alternatives were made for the one which I was not having. Within 10 days my loan got approved. Being a nationalized bank they have shown a good response. ,"Sep 25, 2014"
ALLAHABAD BANK,bangalore,The services was good when I applied for a home loan in Allahabad bank.The rate of interest was 10.15% which is floating and reasonable. The processing fees was Rs.1800 which was reasonable. The customer support was good. The total tenure of the loan is 20 years. ,"Jan 19, 2014"
ALLAHABAD BANK,delhi,Surprisingly I got good response from allahabad bank for my home loan. I thought they are not upto the mark. Nowadays I do see the nationalized banks are pretty quick. They offered me the interest rate sufficiently fit it into my budget. Hence I have opted this bank for my home loan. Overall I am very much satisfied with them,"Nov 06, 2013"
ALLAHABAD BANK,chandigarh,Last month I had availed a home loan from Allahabad bank. I handed over the required documents to the bank executive who was handling my case and my loan was disbursed within a week at a rate of interest of 10.25%. The total loan amount was 34 lakhs.,"Sep 23, 2013"
ALLAHABAD BANK,kolkata,Allahabad bank home loan is ok in the sense like the working environment is not very good its not good sense any type of loan they have to improve the customer support a lot of Nationalized banks are there maintain good reputation they are very slow in process as per the standard its a competitive environment as soon in case of home loan that is my feedback there is a lot of slow documentary work for home loan customer rhas to follow up with the bank so we are less interested to apply,"Aug 08, 2013"
