name,club,pos,status,news,chance_of_playing_this_round,chance_of_playing_next_round,now_cost,total_points,event_points,minutes,points_per_game,points_per_game_last3,form,value_form,value_season,dreamteam_count,selected_by_percent,transfers_out,transfers_in,transfers_out_event,transfers_in_event,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,ep_this,ep_next
David Ospina,Arsenal,Goalkeeper,active,,100,100,4.7,0,0,0,0,0,0,0,0,0,0.2,5453,1605,148,60,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0.5,1.5
Petr Cech,Arsenal,Goalkeeper,active,,100,100,5.4,65,2,1800,3.3,5,4.3,0.8,12,0,15,370863,257705,20382,13827,-1,0,1,0,0,0,6,22,1,0,0,2,0,54,0,334,377,0.1,0,37.9,409,4.8,5.8
Laurent Koscielny,Arsenal,Defender,active,,100,100,6.3,78,1,1683,4.1,5.3,4.3,0.7,12.4,3,17.8,403433,805467,42043,14341,3,0,-3,0,2,0,6,18,0,0,0,3,0,0,11,447,507,13.2,117,64,493,4.8,5.8
Per Mertesacker,Arsenal,Defender,major injury,Knee injury - Unknown return date,0,0,4.8,0,0,0,0,0,0,0,0,0,0.1,4928,1008,95,57,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0
Gabriel Armando de Abreu,Arsenal,Defender,active,,100,100,4.8,19,1,642,2.4,4.3,3.3,0.7,4,0,0.5,14908,24894,4127,2054,-2,0,2,0,0,0,2,7,0,0,0,2,0,0,0,124,122,15.1,26,16.3,244,3.8,4.8
HÃƒÂ©ctor BellerÃƒÂ_n,Arsenal,Defender,major injury,Ankle injury - Expected back 21 Jan,0,0,6.5,70,0,1506,4.1,5,4,0.6,10.8,1,16.2,880205,354554,35979,7415,0,0,0,0,0,3,6,19,0,0,0,1,0,0,10,324,240.2,263.4,219,72,541,4.5,0
Kieran Gibbs,Arsenal,Defender,minor injury,Knee injury - 50% chance of playing,50,50,4.7,12,0,207,2.4,3.3,1.3,0.3,2.6,0,0.5,21878,6668,697,72,-3,-1,3,1,0,1,1,1,0,0,0,2,0,0,0,59,71.8,108.5,43,22.3,69,0.9,1.4
Mathieu Debuchy,Arsenal,Defender,major injury,Hamstring injury - Expected back 14 Jan,0,0,4.7,1,0,15,1,1,0,0,0.2,0,0.2,9934,1776,163,27,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.4,0,0.2,11,0,0
Carl Jenkinson,Arsenal,Defender,active,,100,100,4.9,2,0,82,2,2,0,0,0.4,0,0.1,9384,9484,141,64,-1,-1,1,1,0,0,0,1,0,0,0,0,0,0,0,12,19.4,2,0,2.1,178,0.5,1.5
Nacho Monreal,Arsenal,Defender,active,,100,100,5.9,56,1,1623,2.9,2.3,2,0.3,9.5,0,4,189201,108745,8785,5727,-1,0,1,0,0,1,5,21,0,0,0,2,0,0,4,342,300.4,158,103,56.3,511,2.5,3.5
Calum Chambers,Middlesbrough,Defender,active,,100,100,4.4,45,8,1350,3,3.3,4,0.9,10.2,0,4.5,147734,184415,9453,48970,-1,0,1,0,1,0,4,19,0,0,0,4,0,0,3,281,396.6,12.3,33,44.4,70,4,4
Alexis SÃƒÂ¡nchez,Arsenal,Midfielder,active,,100,100,11.9,143,7,1705,7.2,5.3,5.3,0.4,12,5,36.6,649215,1723583,48883,53996,9,0,-9,0,13,8,6,21,0,0,1,3,0,0,14,461,770,833.8,1038,264.5,690,5.8,6.8
Theo Walcott,Arsenal,Midfielder,major injury,Calf injury - Expected back 28 Jan,0,0,7.5,90,0,1341,5.6,5.3,1.8,0.2,11.8,2,6.2,1297337,1425694,98165,4422,0,-1,0,1,8,3,5,16,0,0,1,0,0,0,6,281,436.6,222.1,766,142,316,1.1,0
Mesut Ãƒâ€“zil,Arsenal,Midfielder,active,,100,100,9.5,84,0,1426,4.9,3.3,2,0.2,8.8,1,7.2,469101,477812,46521,7319,0,-1,0,1,5,4,4,15,0,0,0,0,0,0,10,351,405,757,432,159.5,783,1.9,3.5
Santiago Cazorla,Arsenal,Midfielder,major injury,Ankle injury - Expected back 04 Mar,0,0,7,38,0,618,4.8,2.7,0,0,5.4,0,1.6,369059,329835,1290,84,-5,0,5,0,2,2,4,5,0,0,0,2,0,0,5,159,198.2,221.7,89,50.8,259,0,0
Aaron Ramsey,Arsenal,Midfielder,active,,100,100,7.6,12,1,357,1.3,0.7,0.5,0.1,1.6,0,1,143757,11147,673,2050,-4,0,4,0,0,1,0,8,0,0,0,3,0,0,0,52,49.8,105.5,165,31.9,558,1,2
Jack Wilshere,Bournemouth,Midfielder,active,,100,100,5.9,36,0,1202,2.1,3.7,2.8,0.5,6.1,0,0.7,63775,75872,2281,3464,-1,0,1,0,0,1,5,21,0,0,0,4,0,0,2,164,158.8,355.9,188,69.8,18,0,3.3
Alex Oxlade-Chamberlain,Arsenal,Midfielder,active,,100,100,5.8,51,2,781,3,1.3,1,0.2,8.8,1,1.4,141452,113455,2940,2478,-2,0,2,0,2,4,1,10,0,0,0,0,0,0,2,228,246.6,301.4,302,85.1,186,1.5,2.5
Serge Gnabry,Arsenal,Midfielder,long loan,Joined Werder Bremen on 31/8,0,0,5,0,0,0,0,0,0,0,0,0,0,864,279,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
